MB	BH	BL	NH	Year	Period
131	138	89	49	-4000	Early.P
125	131	92	48	-4000	Early.P
131	132	99	50	-4000	Early.P
119	132	96	44	-4000	Early.P
136	143	100	54	-4000	Early.P
138	137	89	56	-4000	Early.P
139	130	108	48	-4000	Early.P
125	136	93	48	-4000	Early.P
131	134	102	51	-4000	Early.P
134	134	99	51	-4000	Early.P
129	138	95	50	-4000	Early.P
134	121	95	53	-4000	Early.P
126	129	109	51	-4000	Early.P
132	136	100	50	-4000	Early.P
141	140	100	51	-4000	Early.P
131	134	97	54	-4000	Early.P
135	137	103	50	-4000	Early.P
132	133	93	53	-4000	Early.P
139	136	96	50	-4000	Early.P
132	131	101	49	-4000	Early.P
126	133	102	51	-4000	Early.P
135	135	103	47	-4000	Early.P
134	124	93	53	-4000	Early.P
128	134	103	50	-4000	Early.P
130	130	104	49	-4000	Early.P
138	135	100	55	-4000	Early.P
128	132	93	53	-4000	Early.P
127	129	106	48	-4000	Early.P
131	136	114	54	-4000	Early.P
124	138	101	46	-4000	Early.P
124	138	101	48	-3300	Late.P
133	134	97	48	-3300	Late.P
138	134	98	45	-3300	Late.P
148	129	104	51	-3300	Late.P
126	124	95	45	-3300	Late.P
135	136	98	52	-3300	Late.P
132	145	100	54	-3300	Late.P
133	130	102	48	-3300	Late.P
131	134	96	50	-3300	Late.P
133	125	94	46	-3300	Late.P
133	136	103	53	-3300	Late.P
131	139	98	51	-3300	Late.P
131	136	99	56	-3300	Late.P
138	134	98	49	-3300	Late.P
130	136	104	53	-3300	Late.P
131	128	98	45	-3300	Late.P
138	129	107	53	-3300	Late.P
123	131	101	51	-3300	Late.P
130	129	105	47	-3300	Late.P
134	130	93	54	-3300	Late.P
137	136	106	49	-3300	Late.P
126	131	100	48	-3300	Late.P
135	136	97	52	-3300	Late.P
129	126	91	50	-3300	Late.P
134	139	101	49	-3300	Late.P
131	134	90	53	-3300	Late.P
132	130	104	50	-3300	Late.P
130	132	93	52	-3300	Late.P
135	132	98	54	-3300	Late.P
130	128	101	51	-3300	Late.P
137	141	96	52	-1850	Dyn.12.13
129	133	93	47	-1850	Dyn.12.13
132	138	87	48	-1850	Dyn.12.13
130	134	106	50	-1850	Dyn.12.13
134	134	96	45	-1850	Dyn.12.13
140	133	98	50	-1850	Dyn.12.13
138	138	95	47	-1850	Dyn.12.13
136	145	99	55	-1850	Dyn.12.13
136	131	92	46	-1850	Dyn.12.13
126	136	95	56	-1850	Dyn.12.13
137	129	100	53	-1850	Dyn.12.13
137	139	97	50	-1850	Dyn.12.13
136	126	101	50	-1850	Dyn.12.13
137	133	90	49	-1850	Dyn.12.13
129	142	104	47	-1850	Dyn.12.13
135	138	102	55	-1850	Dyn.12.13
129	135	92	50	-1850	Dyn.12.13
134	125	90	60	-1850	Dyn.12.13
138	134	96	51	-1850	Dyn.12.13
136	135	94	53	-1850	Dyn.12.13
132	130	91	52	-1850	Dyn.12.13
133	131	100	50	-1850	Dyn.12.13
138	137	94	51	-1850	Dyn.12.13
130	127	99	45	-1850	Dyn.12.13
136	133	91	49	-1850	Dyn.12.13
134	123	95	52	-1850	Dyn.12.13
136	137	101	54	-1850	Dyn.12.13
133	131	96	49	-1850	Dyn.12.13
138	133	100	55	-1850	Dyn.12.13
138	133	91	46	-1850	Dyn.12.13
137	134	107	54	-200	Ptolemaic
141	128	95	53	-200	Ptolemaic
141	130	87	49	-200	Ptolemaic
135	131	99	51	-200	Ptolemaic
133	120	91	46	-200	Ptolemaic
131	135	90	50	-200	Ptolemaic
140	137	94	60	-200	Ptolemaic
139	130	90	48	-200	Ptolemaic
140	134	90	51	-200	Ptolemaic
138	140	100	52	-200	Ptolemaic
132	133	90	53	-200	Ptolemaic
134	134	97	54	-200	Ptolemaic
135	135	99	50	-200	Ptolemaic
133	136	95	52	-200	Ptolemaic
136	130	99	55	-200	Ptolemaic
134	137	93	52	-200	Ptolemaic
131	141	99	55	-200	Ptolemaic
129	135	95	47	-200	Ptolemaic
136	128	93	54	-200	Ptolemaic
131	125	88	48	-200	Ptolemaic
139	130	94	53	-200	Ptolemaic
144	124	86	50	-200	Ptolemaic
141	131	97	53	-200	Ptolemaic
130	131	98	53	-200	Ptolemaic
133	128	92	51	-200	Ptolemaic
138	126	97	54	-200	Ptolemaic
131	142	95	53	-200	Ptolemaic
136	138	94	55	-200	Ptolemaic
132	136	92	52	-200	Ptolemaic
135	130	100	51	-200	Ptolemaic
137	123	91	50	150	Roman
136	131	95	49	150	Roman
128	126	91	57	150	Roman
130	134	92	52	150	Roman
138	127	86	47	150	Roman
126	138	101	52	150	Roman
136	138	97	58	150	Roman
126	126	92	45	150	Roman
132	132	99	55	150	Roman
139	135	92	54	150	Roman
143	120	95	51	150	Roman
141	136	101	54	150	Roman
135	135	95	56	150	Roman
137	134	93	53	150	Roman
142	135	96	52	150	Roman
139	134	95	47	150	Roman
138	125	99	51	150	Roman
137	135	96	54	150	Roman
133	125	92	50	150	Roman
145	129	89	47	150	Roman
138	136	92	46	150	Roman
131	129	97	44	150	Roman
143	126	88	54	150	Roman
134	124	91	55	150	Roman
132	127	97	52	150	Roman
137	125	85	57	150	Roman
129	128	81	52	150	Roman
140	135	103	48	150	Roman
147	129	87	48	150	Roman
136	133	97	51	150	Roman
