Bird	Length	Extent	Head	Humerus	Sternum	Survival
1 	156 	245 	31.6 	18.5 	20.5 	1 
2 	154 	240 	30.4 	17.9 	19.6 	1 
3 	153 	240 	31.0 	18.4 	20.6 	1 
4 	153 	236 	30.9 	17.7 	20.2 	1 
5 	155 	243 	31.5 	18.6 	20.3 	1 
6 	163 	247 	32.0 	19.0 	20.9 	1 
7 	157 	238 	30.9 	18.4 	20.2 	1 
8 	155 	239 	32.8 	18.6 	21.2 	1 
9 	164 	248 	32.7 	19.1 	21.1 	1 
10 	158 	238 	31.0 	18.8 	22.0 	1 
11 	158 	240 	31.3 	18.6 	22.0 	1 
12 	160 	244 	31.1 	18.6 	20.5 	1 
13 	161 	246 	32.3 	19.3 	21.8 	1 
14 	157 	245 	32.0 	19.1 	20.0 	1 
15 	157 	235 	31.5 	18.1 	19.8 	1 
16 	156 	237 	30.9 	18.0 	20.3 	1 
17 	158 	244 	31.4 	18.5 	21.6 	1 
18 	153 	238 	30.5 	18.2 	20.9 	1 
19 	155 	236 	30.3 	18.5 	20.1 	1 
20 	163 	246 	32.5 	18.6 	21.9 	1 
21 	159 	236 	31.5 	18.0 	21.5 	1 
22 	155 	240 	31.4 	18.0 	20.7 	2
23 	156 	240 	31.5 	18.2 	20.6 	2 
24 	160 	242 	32.6 	18.8 	21.7 	2 
25 	152 	232 	30.3 	17.2 	19.8 	2 
26 	160 	250 	31.7 	18.8 	22.5 	2 
27 	155 	237 	31.0 	18.5 	20.0 	2 
28 	157 	245 	32.2 	19.5 	21.4 	2 
29 	165 	245 	33.1 	19.8 	22.7 	2 
30 	153 	231 	30.1 	17.3 	19.8 	2 
31 	162 	239 	30.3 	18.0 	23.1 	2 
32 	162 	243 	31.6 	18.8 	21.3 	2 
33 	159 	245 	31.8 	18.5 	21.7 	2 
34 	159 	247 	30.9 	18.1 	19.0 	2 
35 	155 	243 	30.9 	18.5 	21.3 	2 
36 	162 	252 	31.9 	19.1 	22.2 	2 
37 	152 	230 	30.4 	17.3 	18.6 	2 
38 	159 	242 	30.8 	18.2 	20.5 	2 
39 	155 	238 	31.2 	17.9 	19.3 	2 
40 	163 	249 	33.4 	19.5 	22.8 	2 
41 	163 	242 	31.0 	18.1 	20.7 	2 
42 	156 	237 	31.7 	18.2 	20.3 	2 
43 	159 	238 	31.5 	18.4 	20.3 	2 
44 	161 	245 	32.1 	19.1 	20.8 	2 
45 	155 	235 	30.7 	17.7 	19.6 	2 
46 	162 	247 	31.9 	19.1 	20.4 	2 
47 	153 	237 	30.6 	18.6 	20.4 	2 
48 	162 	245 	32.5 	18.5 	21.1 	2 
49 	164 	248 	32.3 	18.8 	20.9 	2 
